continent,country,capital_city,life_score,happiness_level,income_level,live_cost, rent_price ,total_score
Asia,Afghanistan,Kabul,Bad,Bad, 49 ," 1,848 ", 815 ,0.5
Europe,Albania,Tirana,Okay,Bad, 338 ," 1,998 ", 828 ,2.99
Africa,Algeria,Algiers,Okay,Okay, 326 ," 1,934 ", 377 ,2.69
Europe,Andorra,Andorra la Vella,Good,null," 3,082 "," 5,601 "," 1,424 ",2.39
Africa,Angola,Luanda,Okay,Bad, 309 ," 3,056 "," 1,842 ",2.51
America,Antigua and Barbuda,St Johns,Okay,null," 1,205 "," 4,891 "," 1,226 ",2.03
America,Argentina,Buenos Aires,Good,Good," 1,037 "," 1,791 ", 633 ,4.09
Asia,Armenia,Yerevan,Okay,Bad, 301 ," 2,414 ", 542 ,3.08
America,Aruba,Oranjestad,Good,null," 2,120 "," 5,918 "," 1,201 ",2.46
Oceania,Australia,Canberra,Good,Great," 4,506 "," 6,752 "," 2,159 ",2.52
Europe,Austria,Vienna,Good,Good," 3,738 "," 5,142 "," 1,759 ",2.73
Asia,Azerbaijan,Baku,Okay,Okay, 324 ," 1,630 ", 456 ,2.8
America,Bahamas,Nassau,Okay,null," 1,927 "," 7,180 "," 1,503 ",2.24
Asia,Bahrain,Manama,Good,Good," 1,882 "," 3,649 "," 1,280 ",2.6
Asia,Bangladesh,Dhaka,Okay,Bad, 113 ," 1,781 ", 721 ,2.65
America,Barbados,Bridgetown,Okay,null," 1,331 "," 5,806 ", 955 ,2.05
Europe,Belarus,Minsk,Bad,Okay, 417 ," 1,560 ", 442 ,0.5
Europe,Belgium,Brussels,Good,Good," 3,433 "," 5,726 "," 1,451 ",2.58
America,Bermuda,Hamilton,Good,null," 8,280 "," 10,613 "," 5,451 ",2.29
America,Bolivia,Sucre,Okay,Okay, 259 ," 1,327 ", 695 ,2.88
Europe,Bosnia and Herzegovina,Sarajevo,Good,null, 401 ," 3,171 ", 608 ,2.93
Africa,Botswana,Gaborone,Okay,Bad, 576 ," 2,480 "," 1,081 ",2.62
America,Brazil,Brasilia,Okay,Good, 721 ," 2,298 ", 827 ,2.62
America,British Virgin Islands,Road Town,Good,null," 2,854 "," 6,812 "," 1,603 ",2.32
Asia,Brunei,Bandar Seri Begawan,Okay,null," 2,245 "," 2,321 ", 936 ,2.67
Europe,Bulgaria,Sofia,Good,Bad, 622 ," 2,220 ", 822 ,3.39
Africa,Burkina Faso,Ouagadougou,Bad,Bad, 52 ," 2,038 ", 458 ,2.5
Asia,Cambodia,Phnom Penh,Okay,Bad, 106 ," 1,655 ", 954 ,3.21
Africa,Cameroon,Yaounde,Bad,Bad, 115 ," 2,645 "," 2,211 ",2.29
America,Canada,Ottawa,Good,Great," 3,513 "," 5,347 "," 1,150 ",2.51
Africa,Cape Verde,Praia,Okay,null, 253 ," 2,636 ", 569 ,2.55
America,Cayman Islands,George Town,Good,null," 5,272 "," 4,790 "," 2,721 ",2.36
Africa,Central African Republic,Bangui,Bad,null, 33 ," 1,523 ", 300 ,0.5
Africa,Chad,NDjamena,Bad,Bad, 65 ," 5,147 "," 3,954 ",1.33
